X	e1g_0	e2g_0	e3g_0	p1g_1	p2g_1	p3g_1
DDX42	245	41	101	403	329	335
DDX43	0	0	0	0	0	0
DDX46	252	36	67	442	421	312
DDX47	146	16	39	164	154	127
DDX49	68	30	29	159	128	98
DDX5	2534	696	1639	5883	3351	2755
DDX50	151	49	77	219	178	145
DDX51	45	7	18	111	73	67
DDX52	90	9	21	92	108	57
DDX54	225	42	50	486	325	239
DDX55	31	9	21	85	68	70
DDX56	128	19	32	168	149	114
DDX58	74	13	22	341	268	212
DDX59	30	3	4	34	25	16
DDX6	321	46	76	545	404	360
DDX60	15	1	1	51	59	28
DEAF1	83	72	104	122	127	105
DECR1	21	14	17	17	12	14
DECR2	46	8	4	118	54	31
DEDD	90	22	39	150	133	91
DEDD2	34	1	5	77	46	30
DEF6	48	16	38	61	50	37
DEF8	43	3	12	108	44	34
DEFA3	0	0	0	0	0	0
DEFA5	0	0	0	0	0	0
DEFB1	0	0	0	0	0	0
DEGS1	486	39	60	1306	592	482
DEGS2	0	0	0	0	0	0
DEK	242	36	72	287	315	255
DENND1A	69	15	29	118	93	56
DENND1B	51	5	11	156	120	65
DENND1C	0	0	0	0	1	0
DENND2A	6	3	3	9	2	9
DENND2C	6	2	3	16	7	7
DENND2D	2	1	1	7	5	3
DENND3	148	14	13	293	171	100
DENND4A	25	6	19	58	94	85
DENND4B	27	13	12	49	27	22
DENND4C	107	11	38	279	172	136
DENND5A	393	129	246	640	400	364
DENND5B	9	5	12	15	14	17
DENND6A	48	4	15	85	61	48
DENND6B	14	4	5	36	18	9
DENR	144	67	131	142	103	98
DEPDC1B	43	4	15	23	22	10
DEPDC5	110	19	46	126	80	62
DEPDC7	74	10	22	98	74	43
DEPTOR	542	14	20	987	311	174
DERA	36	7	2	40	31	26
DERL1	486	133	264	860	744	641
DERL2	99	17	44	152	116	105
DERL3	0	0	1	1	0	0
DES	2	0	2	2	1	1
DESI1	105	14	43	136	119	99
DESI2	203	17	20	283	261	231
DET1	19	7	17	37	41	27
DEXI	24	3	9	53	21	21
DFFA	12	4	6	32	22	21
DFFB	9	5	2	29	25	12
DFNA5	33	2	5	43	41	26
DFNB59	0	0	0	0	0	0
DGAT1	42	20	54	82	62	64
DGAT2	5	2	4	13	4	21
DGAT2L6	0	0	0	0	0	0
DGCR14	81	13	16	86	68	52
DGCR2	208	52	82	391	302	212
DGCR6	65	8	11	101	64	43
DGCR8	75	24	42	152	130	109
DGKA	51	15	25	114	66	39
DGKB	0	0	0	0	0	0
DGKD	505	37	84	853	464	380
DGKE	17	3	6	41	34	21
DGKG	0	0	0	0	1	0
DGKH	4	0	5	15	20	4
DGKI	0	0	0	0	0	0
DGKK	0	0	1	0	0	0
DGKQ	45	29	54	132	82	90
DGKZ	328	34	53	448	202	186
DGUOK	36	6	7	73	61	42
DHCR24	439	83	259	211	155	191
DHCR7	122	32	53	107	62	69
DHDDS	94	19	22	182	118	68
DHDH	0	0	1	0	0	0
DHFR	79	7	19	32	48	59
DHH	47	1	2	17	11	9
DHODH	25	2	12	45	44	30
DHPS	45	19	47	52	65	47
DHRS1	123	21	16	91	48	22
DHRS11	24	4	15	37	34	20
DHRS13	20	3	6	28	21	3
DHRS2	0	0	0	0	0	0
DHRS3	0	2	0	1	0	0
DHRS4	28	3	4	19	16	12
DHRS7	58	9	8	180	111	88
DHRS7B	66	9	9	109	96	67
DHRS7C	0	0	0	0	0	0
DHRS9	70	9	28	21	44	45
DHTKD1	0	0	2	1	0	1
DHX15	500	112	249	693	642	635
DHX16	203	31	42	354	226	166
DHX29	44	8	23	82	89	62
DHX30	268	78	126	473	304	268
DHX32	69	16	25	112	69	65
DHX33	57	7	12	108	132	97
DHX34	214	70	167	84	83	42
DHX35	54	5	16	100	78	56
DHX36	88	12	51	173	144	115
DHX37	81	21	31	137	139	137
DHX38	251	30	64	327	222	164
DHX40	194	22	37	283	198	124
DHX57	97	14	22	181	107	103
DHX58	52	14	13	143	123	70
DHX8	128	20	36	214	164	146
DHX9	350	43	159	565	385	434
DIABLO	64	8	7	96	92	66
DIAPH1	303	123	250	459	272	207
DIAPH2	12	1	3	61	31	20
DIAPH3	175	24	60	91	111	87
DICER1	148	33	90	272	238	195
DIDO1	124	16	41	279	184	203
DIEXF	63	5	29	108	101	105
DIMT1	36	6	17	58	34	42
DIO1	0	0	0	0	0	0
DIO2	2	1	0	48	26	16
DIO3	0	0	0	0	0	0
DIP2A	249	22	50	381	197	136
DIP2B	62	12	24	100	89	80
DIP2C	70	23	52	135	156	106
DIRAS1	1	1	1	0	2	3
DIRAS2	23	10	31	18	31	22
DIRC2	29	13	9	91	67	54
DIS3	130	4	17	124	153	137
DIS3L	58	9	20	83	53	56
DIS3L2	79	13	35	82	50	42
DISC1	1	0	0	0	0	1
DISP1	82	10	21	119	74	50
DISP2	3	0	2	1	0	1
DIXDC1	23	0	6	36	20	22
DKC1	97	2	4	123	147	89
DKK1	0	0	0	0	0	0
DKK2	0	0	0	0	0	0
DKK3	0	0	0	0	0	0
DKK4	0	0	0	0	0	0
DKKL1	0	1	0	0	0	0
DLAT	203	22	39	328	185	154
DLC1	30	7	7	72	33	28
DLD	212	40	73	348	281	292
DLEC1	0	0	0	1	0	1
DLEU7	0	0	0	0	0	0
DLG1	172	15	37	324	204	131
DLG2	0	0	0	0	0	0
DLG3	75	15	17	125	85	49
DLG4	190	24	53	233	118	99
DLG5	379	54	113	675	311	285
DLGAP1	5	1	4	4	7	2
DLGAP2	0	0	0	0	0	0
DLGAP3	0	0	0	0	0	0
DLGAP4	128	58	88	353	224	214
DLGAP5	284	12	27	106	137	108
DLK1	0	0	0	0	0	0
DLK2	51	7	11	23	37	64
DLL1	38	19	53	158	66	38
DLL3	0	0	0	1	0	4
DLL4	13	2	2	86	8	2
DLST	432	57	91	540	469	387
DLX1	49	12	47	47	67	56
DLX2	6	2	10	7	13	6
DLX3	1	0	0	1	1	0
DLX4	14	3	0	32	21	18
DLX5	0	0	0	0	0	0
DLX6	0	0	0	0	0	0
DMAP1	67	14	12	72	55	58
DMBT1	0	0	0	0	0	0
DMBX1	7	0	1	1	2	0
DMC1	0	0	0	0	0	0
DMD	0	0	0	0	1	0
DMGDH	0	0	0	0	0	0
DMKN	1	0	0	0	0	0
DMP1	31	8	6	68	17	16
DMPK	49	19	29	52	61	55
DMRT1	0	1	0	0	0	0
DMRT2	0	0	0	0	0	0
DMRT3	0	0	1	0	0	0
DMRTA1	0	0	0	0	0	0
DMRTA2	60	14	22	98	83	54
DMRTB1	0	0	0	0	0	0
DMRTC1B	0	0	0	0	0	0
DMRTC2	0	0	0	0	0	0
DMTF1	146	31	83	255	174	155
DMTN	81	13	16	148	95	53
DMWD	204	24	47	246	158	122
DMXL1	94	25	81	230	193	168
DMXL2	10	7	44	8	12	6
DNA2	41	1	3	6	9	2
DNAAF1	0	0	0	0	0	0
DNAAF2	54	2	12	47	62	46
DNAAF3	3	1	3	2	2	1
DNAAF5	98	21	23	159	128	84
DNAH1	2	3	11	3	0	2
DNAH10	59	33	83	13	18	9
DNAH11	1	0	0	1	1	0
DNAH12	0	0	0	0	1	0
DNAH14	2	0	0	4	1	1
DNAH17	3	1	2	15	5	6
DNAH2	2	0	0	0	0	0
DNAH3	1	0	0	0	0	0
DNAH5	0	0	0	0	0	1
DNAH6	0	0	1	3	3	4
DNAH8	0	1	0	0	0	1
DNAH9	0	0	0	0	0	0
DNAJA1	212	97	141	409	368	340
DNAJA2	329	86	153	497	408	429
DNAJA3	108	16	38	171	149	135
DNAJA4	47	22	45	77	68	69
DNAJB1	124	39	114	183	138	163
DNAJB11	118	47	75	229	156	170
DNAJB12	149	22	37	208	151	136
DNAJB13	1	0	0	0	0	0
DNAJB14	34	6	15	60	44	42
DNAJB2	93	39	60	171	123	118
DNAJB4	50	8	6	112	108	81
DNAJB5	10	6	10	10	8	14
DNAJB6	279	54	78	618	468	338
DNAJB7	0	0	0	0	0	1
DNAJB8	0	0	0	0	0	0
DNAJB9	20	7	18	81	59	54
DNAJC1	67	11	17	131	111	80
DNAJC10	301	58	103	427	264	261
DNAJC11	121	25	33	174	157	128
DNAJC12	0	0	1	2	2	1
DNAJC13	180	34	87	316	256	207
DNAJC14	190	41	76	300	182	163
DNAJC15	67	26	35	56	74	71
DNAJC16	44	7	11	84	44	46
DNAJC17	21	1	4	32	35	22
DNAJC18	37	3	7	65	42	43
DNAJC19	42	3	6	45	33	32
DNAJC2	92	20	13	99	101	93
DNAJC21	56	11	26	80	112	55
DNAJC22	76	8	10	74	39	24
DNAJC24	19	3	7	42	40	15
DNAJC25	2	0	1	20	18	17
DNAJC27	22	5	4	60	40	24
DNAJC28	5	0	0	15	4	5
DNAJC3	145	29	41	358	280	270
DNAJC30	14	0	1	25	15	10
DNAJC4	28	6	4	47	37	23
DNAJC5	276	44	147	559	438	368
DNAJC5B	0	0	0	0	0	0
DNAJC5G	0	0	0	0	0	0
DNAJC6	11	6	15	10	5	19
DNAJC7	269	77	141	477	357	322
DNAJC8	194	62	90	332	279	283
DNAJC9	151	20	44	75	84	83
DNAL1	37	3	12	112	81	65
DNAL4	112	26	62	98	72	52
DNALI1	1	0	0	1	1	0
DNASE1	2	0	3	13	12	14
DNASE1L1	28	15	16	104	59	42
DNASE1L2	0	0	0	1	2	5
DNASE1L3	0	0	0	1	0	0
DNASE2B	1	0	0	0	0	0
DND1	1	1	1	4	1	2
DNER	2	1	0	2	2	0
DNHD1	2	6	2	19	17	16
DNLZ	46	16	11	82	67	50
DNM1	100	35	58	522	237	194
DNM1L	224	28	81	277	237	157
DNM2	353	52	103	612	441	328
DNM3	3	2	8	0	0	1
DNMBP	100	17	25	216	104	98
DNMT1	1070	61	116	748	606	469
DNMT3A	51	17	49	100	64	35
DNMT3B	3	2	4	16	11	8
DNMT3L	0	0	0	0	0	0
DNPEP	218	59	93	394	180	149
DNPH1	66	4	12	47	55	45
DNTT	0	0	0	0	0	0
DNTTIP1	134	26	51	135	136	103
DNTTIP2	104	14	13	163	144	105
DOC2A	0	0	1	0	1	2
DOC2B	0	0	0	0	0	0
DOCK1	103	15	42	150	99	65
DOCK10	7	2	3	46	27	7
DOCK11	2	0	0	0	0	1
DOCK2	0	0	0	0	0	0
DOCK3	0	0	0	0	0	0
DOCK4	41	16	49	158	75	58
DOCK5	248	20	59	256	239	185
DOCK6	84	15	43	169	71	72
DOCK7	242	34	85	410	276	221
DOCK8	106	17	21	35	32	42
DOCK9	457	32	81	500	375	223
DOHH	156	20	36	210	163	139
DOK1	194	33	39	256	127	101
DOK2	4	3	5	2	0	0
DOK3	0	0	0	1	0	1
DOK4	78	5	22	91	81	60
DOK5	2	1	9	1	0	1
DOK6	0	0	0	0	0	0
DOK7	1	1	3	0	1	2
DOLK	26	6	11	37	32	13
DOLPP1	46	10	23	40	45	35
DONSON	43	2	5	49	30	31
DOPEY1	33	7	18	87	66	61
DOPEY2	45	1	6	106	64	34
DOT1L	223	12	63	243	205	147
DPAGT1	72	15	33	128	87	67
DPCR1	0	0	0	0	0	1
DPEP1	0	0	0	1	0	0
DPEP2	1	0	0	0	3	0
DPEP3	0	0	0	0	0	0
DPF1	12	4	5	8	8	11
DPF2	192	42	62	368	306	263
DPF3	1	0	0	0	3	0
DPH1	33	4	6	75	57	42
DPH2	21	4	4	39	50	62
DPH3	32	13	10	75	54	43
DPH5	32	7	11	50	45	45
DPH6	60	7	6	74	70	32
DPH7	35	4	5	62	43	26
DPM1	26	9	2	47	43	23
DPM2	43	9	19	81	43	28
DPM3	36	5	9	50	33	19
DPP10	0	0	0	1	0	0
DPP3	228	41	66	272	149	113
DPP4	0	0	0	0	0	0
DPP6	0	0	0	0	0	0
DPP7	9	8	4	63	50	48
DPP8	205	23	75	377	234	206
DPP9	168	25	53	388	246	196
DPPA2	0	0	0	0	0	0
DPPA3	0	0	0	0	0	0
DPPA4	0	0	0	0	0	0
DPT	0	0	0	0	0	0
DPY19L1	188	26	36	288	182	122
DPY19L2	0	0	0	0	0	0
DPY19L3	17	1	6	77	41	35
DPY19L4	69	6	9	159	100	60
DPY30	88	41	81	99	110	109
DPYD	0	0	0	0	1	0
DPYS	0	0	1	15	7	4
DPYSL2	238	44	135	296	191	186
DPYSL3	107	64	154	79	52	65
DPYSL4	0	0	0	0	0	0
DPYSL5	2	0	0	2	1	2
DQX1	10	3	5	18	11	20
DR1	111	13	40	187	143	130
DRAM1	8	0	3	32	23	13
DRAM2	23	5	11	76	42	33
DRAP1	256	36	67	276	246	230
DRAXIN	0	0	1	1	3	1
DRC1	0	0	0	0	0	0
DRC7	0	0	0	0	1	0
DRD1	0	0	0	0	0	0
DRD2	0	0	0	0	0	0
DRD3	0	0	0	0	0	0
DRD4	0	0	0	0	1	0
DRD5	0	0	0	0	0	0
DRG1	164	29	40	240	218	159
DRG2	155	28	61	215	207	191
DROSHA	229	26	56	481	271	170
DRP2	5	0	0	5	7	4
DSC1	0	0	0	0	0	0
DSC2	4	0	1	6	3	3
DSC3	0	0	0	0	0	0
DSCAM	0	0	0	0	0	0
DSCAML1	0	0	0	0	0	0
DSCC1	23	3	4	9	14	7
DSCR3	116	23	43	200	144	104
DSE	70	11	21	105	73	57
DSEL	25	1	2	25	16	8
DSG2	30	3	4	51	37	30
DSG3	0	0	0	0	0	0
DSG4	0	0	0	0	0	1
DSN1	39	4	11	56	51	35
DSP	72	14	32	139	49	28
DSPP	0	0	0	0	1	0
DST	1198	164	431	4057	2050	1622
DSTN	481	100	141	1070	780	692
DSTYK	43	13	21	127	75	75
DTD1	53	10	11	75	71	40
DTD2	40	2	3	27	21	17
DTHD1	0	0	0	0	1	0
DTL	251	18	40	158	207	147
DTNA	15	10	37	12	13	18
DTNB	79	21	28	57	40	26
DTNBP1	65	14	17	79	64	57
DTWD1	34	4	4	79	46	25
DTWD2	2	2	1	7	3	3
DTX1	0	0	0	0	0	0
DTX2	73	27	44	102	95	57
DTX3	216	115	134	578	347	287
DTX3L	41	2	5	185	129	99
DTX4	57	5	11	74	46	35
DTYMK	195	14	27	141	214	175
DUOX1	0	1	0	3	0	2
DUOX2	0	2	6	4	5	7
DUOXA1	0	0	0	1	0	0
DUOXA2	0	0	0	0	0	1
DUPD1	0	0	0	0	0	0
DUS1L	83	10	29	156	104	94
DUS2	32	10	9	36	37	19
DUS3L	146	14	17	152	128	85
DUS4L	7	1	1	16	23	19
DUSP1	54	1	9	186	135	130
DUSP10	87	6	11	133	90	109
DUSP11	183	9	20	437	291	220
DUSP12	30	6	3	33	32	27
DUSP13	0	0	2	3	1	2
DUSP14	95	34	45	32	20	26
DUSP15	0	0	0	0	0	0
DUSP16	54	6	19	192	95	70
DUSP18	68	5	13	229	138	122
DUSP19	25	2	3	17	12	12
DUSP2	7	1	3	12	11	5
DUSP21	0	0	0	0	0	0
DUSP22	5	0	4	9	8	9
DUSP23	3	1	5	2	1	0
DUSP26	0	0	0	0	0	0
DUSP27	18	1	1	20	10	0
DUSP28	9	1	2	21	10	9
DUSP3	56	8	10	159	138	119
DUSP4	239	15	25	517	301	222
DUSP5	106	10	41	53	31	28
DUSP6	711	217	438	1784	776	544
DUSP7	172	39	97	227	201	143
DUSP8	13	10	15	83	42	34
DUSP9	23	1	3	28	37	20
DUT	261	11	34	130	164	136
DVL1	303	109	179	901	512	418
DVL2	234	28	65	321	233	205
DVL3	93	22	52	199	125	123
DXO	45	11	9	52	49	29
DYDC1	0	0	0	0	0	0
DYDC2	0	0	0	0	0	0
DYM	57	8	18	102	50	33
DYNAP	2	0	1	0	0	2
DYNC1H1	1569	325	750	3595	2607	2206
DYNC1I1	0	0	1	0	0	0
DYNC1I2	317	86	134	491	355	322
DYNC1LI1	165	17	47	269	212	180
DYNC1LI2	186	58	146	418	288	277
DYNC2H1	52	8	22	99	72	49
DYNC2LI1	9	2	0	22	12	11
DYNLL1	421	156	352	551	509	440
DYNLL2	265	75	156	381	367	310
DYNLRB1	157	35	68	202	168	175
DYNLRB2	0	0	0	0	0	0
DYNLT3	169	10	17	282	164	129
DYRK1A	143	47	128	221	196	234
DYRK1B	21	1	6	71	43	21
DYRK2	43	19	53	74	43	27
DYRK3	38	4	8	35	34	22
DYRK4	0	0	0	0	0	0
DYSF	0	0	1	2	0	0
DYTN	0	0	0	1	0	0
DYX1C1	0	0	0	0	0	0
DZANK1	1	1	2	2	4	0
DZIP1	59	5	12	150	71	64
DZIP1L	4	2	14	5	4	1
DZIP3	40	5	14	89	53	44
E2F1	140	20	26	157	125	87
E2F2	25	1	8	20	31	28
E2F3	54	17	37	96	93	75
E2F4	263	43	74	275	248	201
E2F5	31	5	24	53	28	37
E2F6	47	15	19	61	84	50
E2F7	86	5	16	39	52	41
E2F8	307	9	32	74	96	69
E4F1	63	23	36	131	95	51
EAF1	164	26	53	216	191	205
EAF2	1	0	1	0	1	3
EAPP	95	16	19	159	106	89
EARS2	20	4	10	40	36	34
EBAG9	55	11	17	71	73	68
EBF1	0	0	0	0	0	0
EBF2	1	0	0	0	0	0
EBF3	0	0	0	0	0	0
EBF4	6	3	0	20	13	5
EBI3	1	0	0	0	0	1
EBNA1BP2	175	19	30	153	185	169
EBP	45	4	8	150	48	36
EBPL	21	3	3	28	23	9
ECD	104	9	23	169	118	100
ECE1	417	43	52	977	414	394
ECE2	30	0	3	31	41	22
ECEL1	0	0	0	0	0	1
ECH1	111	19	14	277	138	117
ECHDC1	70	8	16	72	55	33
ECHDC2	68	12	7	161	91	61
ECHDC3	80	4	6	43	28	17
ECHS1	103	11	27	130	89	55
ECI1	68	9	20	107	98	61
ECI2	114	8	17	189	126	70
ECM1	786	204	348	940	705	825
ECM2	0	0	0	0	0	2
ECSCR	3	0	1	1	1	2
ECSIT	33	12	17	98	82	75
ECT2	217	17	44	127	166	92
ECT2L	0	0	0	0	0	0
EDA	11	4	13	2	4	4
EDA2R	1	2	2	12	8	11
EDAR	0	0	0	0	0	0
EDARADD	0	0	0	1	3	1
EDC3	69	4	27	121	105	72
EDC4	250	64	126	441	327	265
EDDM3B	0	0	0	0	0	0
EDEM1	211	26	84	202	179	168
EDEM2	170	36	61	188	106	88
EDEM3	97	19	47	198	138	157
EDF1	348	92	172	494	437	337
EDIL3	8	0	0	9	13	7
EDN1	0	0	0	1	0	1
EDN2	0	0	0	0	0	0
EDN3	0	0	0	0	0	0
EDNRA	4	5	11	19	12	7
EDNRB	0	0	0	0	0	0
EDRF1	50	13	29	70	55	44
EEA1	111	11	34	218	215	219
EED	82	40	75	117	97	129
EEF1A1	24904	6607	9026	36256	25170	19006
EEF1A2	0	0	0	0	0	0
EEF1AKMT1	35	2	2	33	29	15
EEF1B2	1901	235	274	3040	2430	1530
EEF1D	535	105	160	743	627	460
EEF1E1	71	10	6	91	119	93
EEF1G	717	211	241	983	854	570
EEF2	11256	1246	1992	17558	11981	7323
EEF2K	86	26	59	197	146	124
EEF2KMT	63	7	9	98	65	38
EEFSEC	55	12	30	57	39	31
EEPD1	6	0	4	7	5	3
EFCAB1	0	0	0	0	0	0
EFCAB10	0	0	0	0	0	0
EFCAB11	14	0	0	16	19	15
EFCAB12	0	0	0	0	0	0
EFCAB14	77	13	21	161	125	81
EFCAB2	4	0	0	4	4	9
EFCAB3	0	0	0	0	0	0
EFCAB5	5	0	1	2	1	2
EFCAB6	0	0	0	0	0	0
EFCAB7	22	6	7	29	23	6
EFCAB8	0	0	0	1	1	1
EFCAB9	0	0	0	0	0	0
EFCC1	0	0	0	4	0	0
EFEMP1	0	0	0	0	0	0
EFEMP2	341	64	61	572	314	273
EFHB	4	1	0	2	1	0
EFHC1	0	0	0	0	0	1
EFHC2	0	0	0	0	0	0
EFHD1	1	0	1	2	5	1
EFHD2	290	11	59	234	148	136
EFL1	79	19	30	83	46	36
EFNA1	76	7	18	235	210	180
EFNA2	5	0	0	5	10	5
EFNA3	7	3	6	5	9	5
EFNA4	27	6	8	56	27	15
EFNA5	50	12	19	164	97	63
EFNB1	45	20	38	43	38	40
EFNB2	180	30	90	216	145	179
EFNB3	3	0	2	3	7	6
EFR3A	538	80	173	1124	863	594
EFR3B	0	1	1	1	6	1
EFS	4	0	1	2	4	2
EFTUD2	515	85	132	530	450	352
EGF	0	0	0	0	0	1
EGFL6	0	0	0	0	0	0
EGFL7	47	8	2	32	32	12
EGFL8	7	2	0	8	5	2
EGFLAM	0	0	0	0	0	0
EGFR	11	2	4	15	11	6
EGLN1	333	127	436	317	220	230
EGLN2	159	61	102	259	170	138
EGLN3	440	34	75	557	273	194
EGR1	254	22	110	766	215	309
EGR2	9	1	1	36	17	18
EGR3	9	2	4	18	2	5
EGR4	0	0	0	0	0	0
EHBP1	43	6	16	62	45	36
EHBP1L1	228	43	99	330	194	181
EHD1	722	45	71	324	146	94
EHD2	403	34	45	581	229	154
EHD3	210	218	505	65	95	106
EHD4	449	63	130	220	206	138
EHF	0	0	0	3	2	0
EHHADH	0	0	0	0	0	0
EHMT1	222	40	50	358	273	211
EHMT2	737	101	244	929	644	482
EI24	173	41	59	285	212	200
EID1	153	38	64	242	139	157
EID2	0	0	0	0	0	0
EID2B	5	1	0	6	2	1
EID3	2	0	2	8	4	5
EIF1	1418	491	939	2857	3005	2842
EIF1AD	64	16	20	75	114	117
EIF1AX	181	25	33	391	211	195
EIF1B	76	22	77	90	79	73
EIF2A	193	27	62	240	171	139
EIF2AK1	61	8	27	138	101	82
EIF2AK2	88	7	19	232	206	158
EIF2AK3	27	6	11	77	53	44
EIF2AK4	89	16	30	132	86	68
EIF2B1	62	13	11	89	72	65
EIF2B2	180	33	79	248	183	152
EIF2B3	44	25	13	85	104	75
EIF2B4	61	14	21	100	73	51
EIF2B5	195	33	41	219	177	129
EIF2D	177	29	64	157	137	101
EIF2S1	391	67	121	420	414	405
EIF2S2	441	103	142	406	441	425
EIF3A	1290	213	502	1532	1397	1399
EIF3B	561	121	213	756	718	671
EIF3C	955	225	324	1417	1549	1377
EIF3D	595	101	128	785	737	579
EIF3E	952	152	241	1457	1019	765
EIF3F	595	106	134	894	676	524
EIF3G	272	61	92	504	500	401
EIF3H	978	147	187	1415	1088	823
EIF3I	457	89	132	487	389	349
EIF3K	362	112	165	548	511	447
EIF3L	1212	112	189	1458	1135	802
EIF3M	315	113	170	477	406	359
EIF4A1	1457	179	263	1804	1528	1192
EIF4A2	696	312	430	1378	1158	998
EIF4A3	373	30	69	382	366	358
EIF4B	2307	649	1024	2648	1649	1308
EIF4E	282	39	129	326	311	350
EIF4E1B	0	0	0	0	0	0
EIF4E2	251	61	107	330	307	267
EIF4E3	3	2	10	1	0	0
EIF4EBP1	327	39	50	330	404	307
EIF4EBP2	90	13	15	89	66	48
EIF4EBP3	0	0	0	4	3	0
EIF4ENIF1	216	55	124	341	264	282
EIF4G1	1524	410	819	2347	1973	1695
EIF4G2	1796	739	1774	2404	2367	2862
EIF4G3	340	72	135	616	365	325
EIF4H	1187	271	483	1246	1017	950
EIF5	927	285	618	1028	729	692
EIF5A	2316	508	1016	1928	2302	2096
EIF5A2	13	2	9	9	13	16
EIF5B	396	87	126	593	510	471
EIF6	275	40	69	444	447	319
ELAC1	23	2	3	32	16	23
ELAC2	52	10	19	91	81	84
ELANE	0	0	0	0	0	0
ELAVL1	185	78	153	277	247	317
ELAVL2	2	0	2	2	6	3
ELAVL3	0	0	0	1	0	0
ELAVL4	0	0	0	0	0	0
ELF1	148	7	14	247	245	169
ELF2	181	15	73	365	288	215
ELF3	34	2	8	65	44	25
ELF4	69	8	12	151	101	62
ELF5	0	1	1	0	0	0
ELFN1	0	0	0	0	1	0
ELFN2	3	0	6	2	4	2
ELK1	57	12	56	144	83	68
ELK3	595	69	156	557	308	212
ELK4	106	6	10	225	183	118
ELL	91	19	41	140	88	80
ELL2	73	21	64	157	106	76
ELL3	9	1	2	9	4	4
ELMO1	5	0	1	9	10	3
ELMO2	202	29	52	235	150	131
ELMO3	38	3	13	116	41	24
ELMOD1	0	0	0	0	0	0
ELMOD2	30	5	8	32	20	19
ELMOD3	27	2	5	33	27	22
ELMSAN1	154	20	37	359	208	167
ELN	0	0	0	1	0	0
ELOF1	102	15	36	129	84	83
ELOVL1	96	33	48	117	97	97
ELOVL2	0	0	0	0	0	0
ELOVL3	0	0	0	0	0	0
ELOVL4	2	0	0	2	2	1
ELOVL5	198	36	76	287	215	186
ELOVL6	277	13	24	213	128	96
ELOVL7	44	2	6	76	61	50
ELP2	203	17	38	296	258	173
ELP3	196	20	22	311	236	145
ELP4	29	2	6	25	25	16
ELP5	119	18	29	182	139	141
ELP6	35	1	2	29	31	22
EMB	0	0	0	0	0	0
EMC1	147	31	41	313	194	162
EMC10	222	27	35	295	162	153
EMC2	139	35	67	179	163	128
EMC3	122	37	48	277	185	165
EMC4	99	29	56	211	187	181
EMC6	95	18	35	138	117	70
EMC7	120	39	71	212	197	208
EMC8	101	11	20	122	107	124
EMC9	19	6	3	49	20	19
EMCN	0	0	0	0	0	0
EMD	98	25	35	144	108	89
EME1	62	7	5	17	19	27
EME2	14	4	6	42	23	42
EMG1	192	34	38	204	164	171
EMID1	0	0	0	0	0	0
EMILIN1	1	1	1	1	0	0
EMILIN2	9	0	0	102	20	11
EMILIN3	0	0	0	0	0	0
EML1	161	28	68	180	97	72
EML2	210	80	182	210	153	110
EML3	138	26	47	213	112	92
EML4	112	48	84	129	135	112
EML5	109	2	12	140	124	75
EML6	9	1	6	12	8	7
EMP1	1364	116	211	1437	794	588
EMP2	517	53	84	871	537	379
EMP3	110	29	62	113	58	66
EMSY	113	10	66	178	189	117
EMX1	0	0	0	0	0	0
EMX2	0	1	1	0	1	1
EN1	14	9	33	10	9	14
EN2	0	0	0	0	0	0
ENAH	308	45	99	1077	525	423
ENAM	0	0	0	0	0	0
ENC1	120	47	119	189	199	197
ENDOD1	257	29	66	195	105	102
ENDOG	23	5	1	18	14	14
ENDOU	0	0	0	0	0	1
ENDOV	67	9	11	146	102	77
ENG	252	35	40	463	258	242
ENGASE	12	9	7	20	8	9
ENHO	0	0	0	0	0	0
ENKD1	44	18	13	81	69	65
ENKUR	1	0	0	3	1	0
ENO1	2281	142	279	1725	1452	1057
ENO2	250	185	494	227	181	181
ENO3	281	10	40	190	192	186
ENO4	0	1	0	2	0	0
ENOPH1	43	4	13	62	66	56
ENOX1	10	2	3	31	19	22
ENOX2	14	2	8	43	12	10
ENPEP	0	0	0	0	0	0
ENPP1	40	12	27	13	6	8
ENPP2	19	1	0	91	20	9
ENPP3	1	0	0	0	1	2
ENPP4	49	6	7	117	77	61
ENPP5	100	14	6	421	212	162
ENPP6	0	0	0	0	0	0
ENPP7	0	0	0	0	0	0
ENSA	152	23	67	308	217	162
ENTHD1	1	0	2	0	2	1
ENTPD1	0	0	0	0	0	0
ENTPD2	1	0	0	1	0	0
ENTPD3	0	1	1	4	4	3
ENTPD4	61	13	17	138	96	71
ENTPD5	27	6	4	28	31	24
ENTPD6	31	3	3	45	18	11
ENTPD7	8	1	4	17	7	15
ENTPD8	0	0	0	0	1	0
ENY2	175	75	139	289	266	281
EOGT	51	7	16	67	51	39
EOMES	0	0	0	1	1	0
EP300	198	36	113	531	337	272
EP400	468	66	160	772	528	454
EPAS1	1	0	0	0	0	0
EPB41	150	26	43	329	184	129
EPB41L1	193	24	77	272	196	206
EPB41L2	527	70	159	516	409	325
EPB41L3	0	0	0	0	0	0
EPB41L4A	15	1	4	24	26	7
EPB41L4B	20	2	1	38	35	27
EPB41L5	28	2	5	63	44	17
EPB42	0	0	0	0	0	0
EPC1	52	18	48	76	72	61
EPC2	71	22	39	131	86	74
EPCAM	32	3	1	65	28	18
EPDR1	15	4	8	39	21	15
EPG5	27	4	20	77	65	68
EPGN	0	0	0	2	0	0
EPHA1	36	4	2	24	20	9
EPHA10	0	1	0	0	0	1
